method,mode,scene,seed,tasks,no_truth_count,norm_sq_sum,sq_sum,norm_abs_sum,abs_sum,dimension,nrmse,rmse,nmae,mae,no_truth_rate
PRTD,clean,Water,20260826,80,0,0.0012603108534385802,33515.22624492851,0.7211033340146467,1280.9742904661878,720,0.0013230388281856723,6.82267728536082,0.0010015324083536758,1.7791309589808164,0.0
PRTD,clean,Water,20260827,80,0,0.0011206663962434762,40686.750176732865,0.6687182188852969,1296.8576493886303,720,0.0012475901193475833,7.517271795369801,0.0009287753040073568,1.801191179706431,0.0
PRTD,clean,Water,20260828,80,0,0.0011035465116701955,14836.895139702434,0.6568722909976944,888.8742494048944,720,0.00123802402578901,4.53947120325069,0.0009123226263856866,1.2345475686179088,0.0
PRTD,clean,Water,20260829,80,0,0.0011992671501437156,43039.328021032554,0.6929489614920179,1157.3128050377081,720,0.001290600178073771,7.73154864652977,0.0009624291131833582,1.6073788958857058,0.0
PRTD,clean,Water,20260830,80,0,0.0012298942137234975,42078.242721261726,0.6801685233367598,1405.600145910696,720,0.0013069760548492472,7.644736998715533,0.0009446785046343886,1.9522224248759668,0.0
PRTD,clean,Water,20260831,80,0,0.0012016028780836897,23560.108337275193,0.6758121558393171,1066.3338477569432,720,0.0012918563721355974,5.720347252628986,0.0009386279942212737,1.4810192329957546,0.0
PRTD,clean,Water,20260832,80,0,0.001211145366755416,29884.39840135357,0.679804944555647,1159.8623991023464,720,0.0012969758450780244,6.442523487793339,0.0009441735341050653,1.610919998753259,0.0
PRTD,clean,Water,20260833,80,0,0.001083567304827655,21646.185650267278,0.6610110539437314,1052.4100324817232,720,0.0012267659067802666,5.483078217250082,0.0009180709082551824,1.46168060066906,0.0
PRTD,clean,Water,20260834,80,0,0.0010785160652145966,26123.159967229283,0.659137658987761,1078.864479391369,720,0.0012239031740561496,6.0234679895515155,0.0009154689708163347,1.4984228880435682,0.0
PRTD,clean,Water,20260835,80,0,0.0011542322844297302,45991.67888056228,0.6905685205923148,1368.139347395304,720,0.0012661360096929918,7.992329558930782,0.0009591229452671038,1.9001935380490333,0.0
PRTD,clean,Water,20260836,80,0,0.0012273373950912037,25806.515352441107,0.6887668708137848,1160.0331071932796,720,0.0013056168162826356,5.9868507943614215,0.0009566206539080345,1.6111570933239996,0.0
PRTD,clean,Water,20260837,80,0,0.0012282903926402933,26157.402593196497,0.6935708478380134,1179.929580869488,720,0.0013061236077290211,6.027414522320829,0.000963292844219463,1.6387910845409557,0.0
PRTD,compact,Climate,20260808,80,0,0.33105898415319157,12996.79557946716,8.639754766964693,1503.1032056043427,400,0.028768862688382017,5.700174466511346,0.02159938691741173,3.757758014010857,0.0
PRTD,compact,Climate,20260809,80,0,1.213176269520327,46638.328319657376,10.509662920925393,1825.6954694763767,400,0.05507214063209108,10.797954472914926,0.026274157302313483,4.564238673690942,0.0
PRTD,compact,Climate,20260810,80,0,0.3425948477157101,13516.18895605704,8.675451603219962,1516.8849377009783,400,0.029265801189943104,5.812957284389985,0.021688629008049905,3.792212344252446,0.0
PRTD,compact,Climate,20260811,80,0,1.4748607040155859,56688.21015273041,10.786294944855943,1873.6905035286145,400,0.06072192157729336,11.904643017824014,0.026965737362139856,4.684226258821536,0.0
PRTD,compact,Climate,20260812,80,0,1.1692344202160694,46124.75687266771,9.792786901180678,1706.2197179265427,400,0.0540655717674397,10.738337496170871,0.024481967252951695,4.265549294816356,0.0
PRTD,compact,Climate,20260813,80,0,0.31894166455719636,12627.786131159015,8.509605195804749,1488.440696007103,400,0.028237460250401254,5.6186711354107155,0.021274012989511874,3.7211017400177577,0.0
PRTD,compact,Climate,20260814,80,0,0.3063533243819567,11969.908738232536,8.141170537830366,1413.526985031849,400,0.027674596852617236,5.4703539049664185,0.020352926344575913,3.5338174625796226,0.0
PRTD,compact,Climate,20260815,80,0,1.1656731292633091,45433.98604076726,9.835339922376871,1708.0802636947562,400,0.05398317166634684,10.657624740152853,0.024588349805942177,4.270200659236891,0.0
PRTD,compact,Climate,20260816,80,0,1.1712244073120792,45553.90866668316,9.472992454649862,1643.6775553878228,400,0.05411156085607029,10.671680826688357,0.023682481136624654,4.109193888469557,0.0
PRTD,compact,Climate,20260817,80,0,0.35011860132338557,13742.802757592215,8.826146514124508,1533.796520459076,400,0.029585410311646243,5.861485041692125,0.02206536628531127,3.8344913011476898,0.0
PRTD,compact,Climate,20260818,80,0,1.3114404168754825,51104.78862632521,10.825012915488305,1876.101286832165,400,0.0572590695190614,11.303184133942658,0.027062532288720763,4.6902532170804125,0.0
PRTD,compact,Climate,20260819,80,0,0.2977938453109387,11677.869603442892,7.9742497511468695,1386.8572399250327,400,0.02728524534024473,5.403209602505462,0.019935624377867174,3.467143099812582,0.0
PRTD,compact,Climate,20260820,80,0,0.3425490955615174,13385.458549862155,8.846817207197864,1538.3163055642815,400,0.02926384696009384,5.784777124026075,0.02211704301799466,3.8457907639107036,0.0
PRTD,compact,Climate,20260821,80,0,2.338251087245717,91280.5983200995,11.522078396688945,2000.496936195111,400,0.07645670486042602,15.106339589730158,0.028805195991722363,5.001242340487777,0.0
PRTD,compact,Climate,20260822,80,0,0.2688375102045426,10586.031661132436,8.022475634240411,1399.5220760530815,400,0.025924771464978368,5.144422139835639,0.02005618908560103,3.4988051901327037,0.0
