run,seed,n,fault,policy,audit_triggered,detected,corrected,bad_finalized,honest_votes,audit_reexecution_ms,correct_digest,submitted_digest
4,2035581004,27,reputation_state,proactive,True,True,True,False,5,8.303794,3113df41efa7e42ff49061b398cc3110b2f13347ff0f882d51a2ff67ee27b9ca,5dafe6449d935a7b2e7ff5a5270af526327db3fe3164fa13b28c768be12b1767
4,2035581004,27,reputation_state,timely_challenge,True,True,True,False,5,8.232376,3113df41efa7e42ff49061b398cc3110b2f13347ff0f882d51a2ff67ee27b9ca,5dafe6449d935a7b2e7ff5a5270af526327db3fe3164fa13b28c768be12b1767
4,2035581004,27,reputation_state,delayed_challenge,True,True,True,False,5,7.993741,3113df41efa7e42ff49061b398cc3110b2f13347ff0f882d51a2ff67ee27b9ca,5dafe6449d935a7b2e7ff5a5270af526327db3fe3164fa13b28c768be12b1767
4,2035581004,27,aggregate,no_trigger,False,False,False,True,0,0.000149,3113df41efa7e42ff49061b398cc3110b2f13347ff0f882d51a2ff67ee27b9ca,599eae3388ed40efb0015cb854237c732bdc54e928083948e3e941d4962264b6
4,2035581004,27,aggregate,proactive,True,True,True,False,5,8.418961,3113df41efa7e42ff49061b398cc3110b2f13347ff0f882d51a2ff67ee27b9ca,599eae3388ed40efb0015cb854237c732bdc54e928083948e3e941d4962264b6
4,2035581004,27,aggregate,timely_challenge,True,True,True,False,5,8.605611,3113df41efa7e42ff49061b398cc3110b2f13347ff0f882d51a2ff67ee27b9ca,599eae3388ed40efb0015cb854237c732bdc54e928083948e3e941d4962264b6
4,2035581004,27,aggregate,delayed_challenge,True,True,True,False,5,8.143982,3113df41efa7e42ff49061b398cc3110b2f13347ff0f882d51a2ff67ee27b9ca,599eae3388ed40efb0015cb854237c732bdc54e928083948e3e941d4962264b6
4,2035581004,27,payment,no_trigger,False,False,False,True,0,0.000118,3113df41efa7e42ff49061b398cc3110b2f13347ff0f882d51a2ff67ee27b9ca,34c41ca3c621ff31c60b79446aff325bec98247e8e6a4c5fc22b3410b48c5e08
4,2035581004,27,payment,proactive,True,True,True,False,5,8.578422,3113df41efa7e42ff49061b398cc3110b2f13347ff0f882d51a2ff67ee27b9ca,34c41ca3c621ff31c60b79446aff325bec98247e8e6a4c5fc22b3410b48c5e08
4,2035581004,27,payment,timely_challenge,True,True,True,False,5,7.733717,3113df41efa7e42ff49061b398cc3110b2f13347ff0f882d51a2ff67ee27b9ca,34c41ca3c621ff31c60b79446aff325bec98247e8e6a4c5fc22b3410b48c5e08
4,2035581004,27,payment,delayed_challenge,True,True,True,False,5,8.11302,3113df41efa7e42ff49061b398cc3110b2f13347ff0f882d51a2ff67ee27b9ca,34c41ca3c621ff31c60b79446aff325bec98247e8e6a4c5fc22b3410b48c5e08
4,2035581004,27,missing_package,no_trigger,False,False,False,True,0,0.000107,3113df41efa7e42ff49061b398cc3110b2f13347ff0f882d51a2ff67ee27b9ca,MISSING
4,2035581004,27,missing_package,proactive,True,True,True,False,5,0.000961,3113df41efa7e42ff49061b398cc3110b2f13347ff0f882d51a2ff67ee27b9ca,MISSING
4,2035581004,27,missing_package,timely_challenge,True,True,True,False,5,0.000384,3113df41efa7e42ff49061b398cc3110b2f13347ff0f882d51a2ff67ee27b9ca,MISSING
