protocol,n,run,audit_mode,phase,tx_index,latency_ms,ledger_bytes,gas_used,block_number,status,tx_hash
IRPP-TD,27,0,proactive,credential_refresh,11,530.253475,289,28384,2936,0,0x2abbba98cc7de97dbecb678a8a657b9a81e6e58e27d6af3b8f1d8a42312281e1
IRPP-TD,27,0,proactive,credential_refresh,12,473.273594,289,28384,2937,0,0x77a84aeb68b1ac9c5cf4f166c8ce4710f7a7e32a09d57cc8c713401c3103f373
IRPP-TD,27,0,proactive,credential_refresh,13,535.368818,289,28384,2938,0,0xb1f55010e4f92e44659152f34f4c8d1a0eca5bf6e8bf4c433c7b00eafea72c3c
IRPP-TD,27,0,proactive,credential_refresh,14,501.281302,289,28384,2939,0,0x7adef27b9fcec6f6d7b6577058f1a53d97482b06983a8a72beab415580a9c66e
IRPP-TD,27,0,proactive,credential_refresh,15,500.076170,289,28384,2940,0,0xda25f8bbf29baf4181ca03a6b5056dd2aec37b6b0fa6bcc1c0d6f39645bd6ab3
IRPP-TD,27,0,proactive,credential_refresh,16,503.291201,289,28384,2941,0,0x7d4598250ecc83ce5b271610b712760e5070d275d3874628c1a3f4aecfe989c0
IRPP-TD,27,0,proactive,credential_refresh,17,500.601493,289,28384,2942,0,0x92f6cfc5493cc7e5d52f1ca6f602b5211ac8f696f4765f2d2dfb9f9fd2f655f3
IRPP-TD,27,0,proactive,credential_refresh,18,501.670017,289,28384,2943,0,0xced3ee7b19c7734b96bd467498a8b8927e1b31c3d531ce5c47ae61f108091a8b
IRPP-TD,27,0,proactive,credential_refresh,19,501.124047,289,28384,2944,0,0x4e4e43478f8993e85c74acc0836878a91e65ea86dc39c9ce92c798d1e2c07c5b
IRPP-TD,27,0,proactive,credential_refresh,20,503.420825,289,28384,2945,0,0xaf14da2bcbcd1ed273b144a3a5db7780fc3cfb51f9b796cebf3834623f303772
IRPP-TD,27,0,proactive,credential_refresh,21,536.982793,289,28384,2946,0,0xce4a7adf821af27496b153a8ec82a7f365d35acecaa578119c5c8683c9d1e3ab
IRPP-TD,27,0,proactive,credential_refresh,22,469.040934,289,28384,2947,0,0x1ff69e12c140c45a1c844926cfb158520d22a97d9a6ddeaf795d1dc4f18d5320
IRPP-TD,27,0,proactive,credential_refresh,23,499.580725,289,28384,2948,0,0x9842f513408e1fc94d491561d00cc9936bc8840bed45c9c1df9bfe522d9e2eec
IRPP-TD,27,0,proactive,credential_refresh,24,503.402087,289,28384,2949,0,0x4bad01d3fe53253ac3af2b6bdaf3d10f2c3d70c075a4e324428a09ea01a44be4
IRPP-TD,27,0,proactive,credential_refresh,25,501.172188,289,28384,2950,0,0xf191e0ad6aa4000bf1b1d6cd0d4e90f04cbec3b91fd8be949e317a8575c2ac86
IRPP-TD,27,0,proactive,credential_refresh,26,500.676109,289,28384,2951,0,0x6a12de55b7dc44a8ead0cbe5226d805b65349b1b39bd5f6ac988c6bb55e4ad89
IRPP-TD,27,0,proactive,credential_refresh,27,503.765147,289,28384,2952,0,0xbafdfdafccb715548fc0704694111703edc7a9c2d8874aa821043c9c74dfb5b6
IRPP-TD,27,0,proactive,input_close,28,501.319670,289,18625,2953,0,0x5aa23fcc0a1594426faa60a79aab3acb7661c8c6c6f399f4c19924935bfdab3a
IRPP-TD,27,0,proactive,output_commit,29,502.479997,353,26849,2954,0,0x91f91958b0ef3f4d9c1bf7809439c36460d42559ec9f83822aa5cda2ec1e8c07
